"Country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered"
"Australia",2020-01-26,1,4,4,0,0,0,0
"Canada",2020-01-26,1,1,1,0,0,0,0
"China",2020-01-26,1,2062,2062,56,56,49,49
"France",2020-01-26,1,3,3,0,0,0,0
"HongKong",2020-01-26,1,8,8,0,0,0,0
"Japan",2020-01-26,1,4,4,0,0,1,1
"Macao",2020-01-26,1,5,5,0,0,0,0
"Malaysia",2020-01-26,1,4,4,0,0,0,0
"Nepal",2020-01-26,1,1,1,0,0,0,0
"RepublicofKorea",2020-01-26,1,3,3,0,0,0,0
"Singapore",2020-01-26,1,4,4,0,0,0,0
"Taiwan",2020-01-26,1,4,4,0,0,0,0
"Thailand",2020-01-26,1,8,8,0,0,6,6
"US",2020-01-26,1,5,5,0,0,0,0
"Vietnam",2020-01-26,1,2,2,0,0,0,0
"Australia",2020-02-02,2,12,8,0,0,2,2
"Cambodia",2020-02-02,2,1,1,0,0,0,0
"Canada",2020-02-02,2,4,3,0,0,0,0
"China",2020-02-02,2,16607,14545,361,305,463,414
"Finland",2020-02-02,2,1,1,0,0,0,0
"France",2020-02-02,2,6,3,0,0,0,0
"Germany",2020-02-02,2,10,10,0,0,0,0
"HongKong",2020-02-02,2,15,7,0,0,0,0
"India",2020-02-02,2,2,2,0,0,0,0
"Italy",2020-02-02,2,2,2,0,0,0,0
"Japan",2020-02-02,2,20,16,0,0,1,0
"Macao",2020-02-02,2,8,3,0,0,0,0
"Malaysia",2020-02-02,2,8,4,0,0,0,0
"Nepal",2020-02-02,2,1,0,0,0,0,0
"Philippines",2020-02-02,2,2,2,1,1,0,0
"RepublicofKorea",2020-02-02,2,15,12,0,0,0,0
"Russia",2020-02-02,2,2,2,0,0,0,0
"Singapore",2020-02-02,2,18,14,0,0,0,0
"Spain",2020-02-02,2,1,1,0,0,0,0
"SriLanka",2020-02-02,2,1,1,0,0,0,0
"Sweden",2020-02-02,2,1,1,0,0,0,0
"Taiwan",2020-02-02,2,10,6,0,0,0,0
"Thailand",2020-02-02,2,19,11,0,0,9,3
"UnitedArabEmirates",2020-02-02,2,5,5,0,0,0,0
"UnitedKingdom",2020-02-02,2,2,2,0,0,0,0
"US",2020-02-02,2,8,3,0,0,0,0
"Vietnam",2020-02-02,2,6,4,0,0,1,1
"Australia",2020-02-09,3,15,3,0,0,2,0
"Belgium",2020-02-09,3,1,1,0,0,0,0
"Cambodia",2020-02-09,3,1,0,0,0,0,0
"Canada",2020-02-09,3,7,3,0,0,0,0
"China",2020-02-09,3,39790,23183,904,543,3218,2755
"DiamondPrincess",2020-02-09,3,64,64,0,0,0,0
"Finland",2020-02-09,3,1,0,0,0,0,0
"France",2020-02-09,3,11,5,0,0,0,0
"Germany",2020-02-09,3,14,4,0,0,0,0
"HongKong",2020-02-09,3,29,14,1,1,0,0
"India",2020-02-09,3,3,1,0,0,0,0
"Italy",2020-02-09,3,3,1,0,0,0,0
"Japan",2020-02-09,3,24,4,0,0,1,0
"Macao",2020-02-09,3,10,2,0,0,1,1
"Malaysia",2020-02-09,3,17,9,0,0,3,3
"Nepal",2020-02-09,3,1,0,0,0,0,0
"Philippines",2020-02-09,3,3,1,1,0,0,0
"RepublicofKorea",2020-02-09,3,25,10,0,0,3,3
"Russia",2020-02-09,3,2,0,0,0,0,0
"Singapore",2020-02-09,3,40,22,0,0,2,2
"Spain",2020-02-09,3,2,1,0,0,0,0
"SriLanka",2020-02-09,3,1,0,0,0,1,1
"Sweden",2020-02-09,3,1,0,0,0,0,0
"Taiwan",2020-02-09,3,18,8,0,0,1,1
"Thailand",2020-02-09,3,32,13,0,0,11,2
"UnitedArabEmirates",2020-02-09,3,7,2,0,0,0,0
"UnitedKingdom",2020-02-09,3,14,12,0,0,0,0
"US",2020-02-09,3,12,4,0,0,3,3
"Vietnam",2020-02-09,3,13,7,0,0,1,0
"Australia",2020-02-16,4,15,0,0,0,8,6
"Belgium",2020-02-16,4,1,0,0,0,0,0
"Cambodia",2020-02-16,4,1,0,0,0,1,1
"Canada",2020-02-16,4,7,0,0,0,1,1
"China",2020-02-16,4,70446,30656,1765,861,10748,7530
"DiamondPrincess",2020-02-16,4,355,291,0,0,0,0
"Egypt",2020-02-16,4,1,1,0,0,0,0
"Finland",2020-02-16,4,1,0,0,0,1,1
"France",2020-02-16,4,12,1,1,1,4,4
"Germany",2020-02-16,4,16,2,0,0,1,1
"HongKong",2020-02-16,4,57,28,1,0,2,2
"India",2020-02-16,4,3,0,0,0,3,3
"Italy",2020-02-16,4,3,0,0,0,0,0
"Japan",2020-02-16,4,60,36,1,1,12,11
"Macao",2020-02-16,4,10,0,0,0,5,4
"Malaysia",2020-02-16,4,22,5,0,0,8,5
"Nepal",2020-02-16,4,1,0,0,0,1,1
"Philippines",2020-02-16,4,3,0,1,0,1,1
"RepublicofKorea",2020-02-16,4,29,4,0,0,9,6
"Russia",2020-02-16,4,2,0,0,0,2,2
"Singapore",2020-02-16,4,75,35,0,0,18,16
"Spain",2020-02-16,4,2,0,0,0,2,2
"SriLanka",2020-02-16,4,1,0,0,0,1,0
"Sweden",2020-02-16,4,1,0,0,0,0,0
"Taiwan",2020-02-16,4,20,2,1,1,2,1
"Thailand",2020-02-16,4,34,2,0,0,15,4
"UnitedArabEmirates",2020-02-16,4,9,2,0,0,4,4
"UnitedKingdom",2020-02-16,4,18,4,0,0,8,8
"US",2020-02-16,4,14,2,0,0,3,0
"Vietnam",2020-02-16,4,16,3,0,0,7,6
"Australia",2020-02-23,5,15,0,0,0,11,3
"Belgium",2020-02-23,5,1,0,0,0,1,1
"Cambodia",2020-02-23,5,1,0,0,0,1,0
"Canada",2020-02-23,5,9,2,0,0,3,2
"Chile",2020-02-23,5,2,2,0,0,0,0
"China",2020-02-23,5,76938,6492,2443,678,23170,12422
"DiamondPrincess",2020-02-23,5,691,336,3,3,0,0
"Egypt",2020-02-23,5,1,0,0,0,0,0
"Finland",2020-02-23,5,1,0,0,0,1,0
"France",2020-02-23,5,12,0,1,0,4,0
"Germany",2020-02-23,5,16,0,0,0,14,13
"HongKong",2020-02-23,5,74,17,2,1,11,9
"India",2020-02-23,5,3,0,0,0,3,0
"Iran",2020-02-23,5,43,43,8,8,0,0
"Israel",2020-02-23,5,1,1,0,0,0,0
"Italy",2020-02-23,5,155,152,3,3,2,2
"Japan",2020-02-23,5,149,89,2,1,22,10
"Lebanon",2020-02-23,5,1,1,0,0,0,0
"Macao",2020-02-23,5,10,0,0,0,6,1
"Malaysia",2020-02-23,5,22,0,0,0,18,10
"Nepal",2020-02-23,5,1,0,0,0,1,0
"Philippines",2020-02-23,5,3,0,1,0,1,0
"RepublicofKorea",2020-02-23,5,602,573,6,6,18,9
"Russia",2020-02-23,5,2,0,0,0,2,0
"Singapore",2020-02-23,5,89,14,0,0,51,33
"Spain",2020-02-23,5,2,0,0,0,2,0
"SriLanka",2020-02-23,5,1,0,0,0,1,0
"Sweden",2020-02-23,5,1,0,0,0,0,0
"Taiwan",2020-02-23,5,28,8,1,0,2,0
"Thailand",2020-02-23,5,35,1,0,0,21,6
"UnitedArabEmirates",2020-02-23,5,13,4,0,0,4,0
"UnitedKingdom",2020-02-23,5,28,10,0,0,8,0
"US",2020-02-23,5,16,2,0,0,5,2
"Vietnam",2020-02-23,5,16,0,0,0,14,7
"Afghanistan",2020-03-01,6,5,5,0,0,0,0
"Algeria",2020-03-01,6,1,1,0,0,0,0
"Armenia",2020-03-01,6,1,1,0,0,0,0
"Australia",2020-03-01,6,27,12,1,1,11,0
"Austria",2020-03-01,6,14,14,0,0,0,0
"Azerbaijan",2020-03-01,6,3,3,0,0,0,0
"Bahrain",2020-03-01,6,47,47,0,0,0,0
"Belarus",2020-03-01,6,1,1,0,0,0,0
"Belgium",2020-03-01,6,2,1,0,0,1,0
"Brazil",2020-03-01,6,2,2,0,0,0,0
"Cambodia",2020-03-01,6,1,0,0,0,1,0
"Canada",2020-03-01,6,26,17,0,0,6,3
"Chile",2020-03-01,6,9,7,0,0,0,0
"China",2020-03-01,6,79826,2888,2870,427,42118,18948
"Croatia",2020-03-01,6,7,7,0,0,0,0
"Czechia",2020-03-01,6,3,3,0,0,0,0
"Denmark",2020-03-01,6,4,4,0,0,0,0
"DiamondPrincess",2020-03-01,6,705,14,6,3,10,10
"DominicanRepublic",2020-03-01,6,1,1,0,0,0,0
"Ecuador",2020-03-01,6,6,6,0,0,0,0
"Egypt",2020-03-01,6,2,1,0,0,1,1
"Estonia",2020-03-01,6,1,1,0,0,0,0
"Finland",2020-03-01,6,6,5,0,0,1,0
"France",2020-03-01,6,130,118,2,1,12,8
"Georgia",2020-03-01,6,3,3,0,0,0,0
"Germany",2020-03-01,6,130,114,0,0,16,2
"Greece",2020-03-01,6,7,7,0,0,0,0
"HongKong",2020-03-01,6,96,22,2,0,36,25
"Iceland",2020-03-01,6,3,3,0,0,0,0
"India",2020-03-01,6,3,0,0,0,3,0
"Iran",2020-03-01,6,978,935,54,46,175,175
"Iraq",2020-03-01,6,19,19,0,0,0,0
"Ireland",2020-03-01,6,1,1,0,0,0,0
"Israel",2020-03-01,6,7,6,0,0,0,0
"Italy",2020-03-01,6,1694,1539,34,31,83,81
"Japan",2020-03-01,6,259,110,6,4,32,10
"Kuwait",2020-03-01,6,45,45,0,0,0,0
"Lebanon",2020-03-01,6,10,9,0,0,0,0
"Lithuania",2020-03-01,6,1,1,0,0,0,0
"Luxembourg",2020-03-01,6,1,1,0,0,0,0
"Macao",2020-03-01,6,10,0,0,0,8,2
"Malaysia",2020-03-01,6,29,7,0,0,22,4
"Mexico",2020-03-01,6,5,5,0,0,0,0
"Monaco",2020-03-01,6,1,1,0,0,0,0
"Nepal",2020-03-01,6,1,0,0,0,1,0
"Netherlands",2020-03-01,6,10,10,0,0,0,0
"NewZealand",2020-03-01,6,1,1,0,0,0,0
"Nigeria",2020-03-01,6,1,1,0,0,0,0
"NorthMacedonia",2020-03-01,6,1,1,0,0,0,0
"Norway",2020-03-01,6,19,19,0,0,0,0
"Oman",2020-03-01,6,6,6,0,0,1,1
"Pakistan",2020-03-01,6,4,4,0,0,0,0
"Philippines",2020-03-01,6,3,0,1,0,1,0
"Qatar",2020-03-01,6,3,3,0,0,0,0
"RepublicofKorea",2020-03-01,6,3736,3134,17,11,30,12
"Romania",2020-03-01,6,3,3,0,0,0,0
"Russia",2020-03-01,6,2,0,0,0,2,0
